average error,percent correct
2.543390,0.000000
2.476745,0.600000
2.497347,0.400000
2.493462,0.000000
2.442210,0.000000
2.397593,0.000000
2.354104,0.000000
2.288450,0.000000
2.237380,0.400000
2.254268,0.000000
2.179129,0.333333
2.141828,0.222222
2.103874,0.222222
2.046358,0.111111
1.983013,0.222222
1.961759,0.000000
1.915266,0.111111
1.882453,0.111111
1.820658,0.333333
1.810503,0.222222
1.716842,0.384615
1.669460,0.230769
1.642551,0.153846
1.586319,0.153846
1.552356,0.461538
1.520826,0.230769
1.482839,0.230769
1.440305,0.250000
1.411977,0.333333
1.405348,0.333333
1.368007,0.312500
1.351628,0.312500
1.315129,0.375000
1.339626,0.187500
1.292321,0.250000
1.275618,0.187500
1.235124,0.312500
1.237108,0.250000
1.241075,0.187500
1.229657,0.125000
1.216515,0.100000
1.195015,0.100000
1.171537,0.100000
1.154204,0.100000
1.133496,0.050000
1.117185,0.100000
1.099555,0.250000
1.120048,0.050000
1.086486,0.100000
1.059630,0.200000
1.064448,0.181818
1.058950,0.045455
1.029039,0.181818
1.040154,0.045455
1.019352,0.181818
1.037507,0.090909
1.022847,0.238095
0.999638,0.200000
1.012187,0.100000
0.999589,0.300000
0.988738,0.190476
0.981340,0.333333
1.001545,0.095238
0.969794,0.333333
1.005537,0.050000
0.995577,0.105263
0.974380,0.263158
0.987948,0.052632
0.973819,0.157895
0.957881,0.263158
0.954211,0.260870
0.963937,0.130435
0.960352,0.130435
0.954045,0.217391
0.941021,0.285714
0.965420,0.095238
0.966128,0.047619
0.943509,0.238095
0.959803,0.095238
0.959096,0.047619
0.956497,0.000000
0.937392,0.153846
0.943030,0.076923
0.933346,0.120000
0.934396,0.160000
0.928542,0.160000
0.932213,0.160000
0.931420,0.160000
0.935367,0.160000
0.927566,0.120000
0.929329,0.074074
0.933004,0.038462
0.927583,0.115385
0.921496,0.080000
0.928661,0.080000
0.923401,0.080000
0.911255,0.160000
0.923739,0.120000
0.915661,0.291667
0.919638,0.125000
0.919494,0.076923
0.914339,0.192308
0.910905,0.208333
0.903083,0.250000
0.908307,0.208333
0.913235,0.130435
0.902267,0.217391
0.907578,0.095238
0.912407,0.047619
0.914564,0.047619
0.907716,0.040000
0.906027,0.080000
0.895476,0.208333
0.900337,0.208333
0.899468,0.173913
0.909146,0.090909
0.909680,0.095238
0.904132,0.150000
0.909724,0.150000
0.908171,0.150000
0.905966,0.083333
0.911398,0.041667
0.905065,0.125000
0.914785,0.041667
0.902775,0.130435
0.906925,0.090909
0.899144,0.318182
0.906985,0.181818
0.895165,0.181818
0.903493,0.136364
0.897646,0.083333
0.905059,0.083333
0.904793,0.125000
0.904048,0.125000
0.901019,0.208333
0.908623,0.125000
0.892048,0.333333
0.895565,0.208333
0.901581,0.166667
0.900819,0.125000
0.901172,0.166667
0.899873,0.125000
0.903881,0.166667
0.893131,0.166667
0.902082,0.083333
0.903691,0.125000
0.892790,0.217391
0.888427,0.217391
0.893173,0.217391
0.900693,0.130435
0.898568,0.038462
0.892783,0.160000
0.908395,0.080000
